# Programme: nSunsCAP3_RPE
sets,reps,weight,type,rpe,intensity
Flat Bench
4,8,57.5,Default,4.41,63.69
2,6,65.0,Default,5.8,70.75
1,6,67.5,AMRAP,6.95,73.09
Close Grip Bench
1,10,47.5,AMRAP,6.62,66.25
1,10,47.5,AMRAP,6.62,64.16
1,5,55.0,AMRAP EMOM,5.99,73.35
Wrist Curl
4,15,7.0,AMRAP,10.0,61.09
Wrist Extension
4,15,7.0,AMRAP,10.0,61.09
Land Mine Anti-Rotation
1,8,37.5,AMRAP,10.0,71.64
2,10,32.5,AMRAP,7.4,64.16
1,6,32.5,Opt AMRAP EMOM,3.75,67.06
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Bulgarian Split Squat
1,6,30.0,AMRAP,9.92,76.59
2,8,27.5,AMRAP,9.26,68.33
1,4,25.0,Opt AMRAP EMOM,2.5,72.47
Face Pull
1,12,20.0,AMRAP,10.0,61.47
2,14,15.0,AMRAP,3.9,55.15
1,10,15.0,Opt AMRAP EMOM,2.2,55.44
Toes to Bar
5,12,7.5,AMRAP,10.0,80.0
Day,20
Rest
Day,21
Deadlift
4,3,127.5,Default,5.71,79.17
3,3,132.5,Default,6.96,81.63
1,3,135.0,AMRAP,7.58,84.16
Pendlay Row, Cheat
1,8,92.5,AMRAP,7.67,71.64
1,6,97.5,AMRAP,7.21,74.25
1,4,100.0,AMRAP EMOM,5.72,77.35
Side Raise
1,12,10.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,55.44
Hammer Curl
1,12,12.5,AMRAP,8.02,61.47
2,14,10.0,AMRAP,3.9,55.15
1,10,10.0,Opt AMRAP EMOM,2.2,55.44
DB Incline Bench
1,8,32.5,AMRAP,8.76,71.64
2,10,30.0,AMRAP,8.2,64.16
1,6,30.0,Opt AMRAP EMOM,4.35,67.06
Plate Pinch
4,15,17.5,AMRAP,10.0,61.09
Zottman Curl
1,12,10.0,AMRAP,10.0,61.47
2,14,5.0,AMRAP,1.71,55.15
1,10,5.0,Opt AMRAP EMOM,1.03,55.44
V-Sit
5,12,7.5,AMRAP,10.0,80.0
Day,22
Front Squat
5,6,55.0,Default,5.17,70.75
2,5,60.0,Default,6.69,75.73
1,5,62.5,AMRAP,8.0,79.33
Overhead Press
1,10,37.5,AMRAP,6.23,66.25
1,8,40.0,AMRAP,6.26,68.33
1,5,42.5,AMRAP EMOM,4.96,73.35
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Pullup
1,8,8.75,AMRAP,7.76,69.44
2,10,7.5,AMRAP,5.15,61.98
1,6,7.5,Opt AMRAP EMOM,2.33,64.26
Calf Raise, Standing
1,8,15.0,AMRAP,10.0,73.86
2,10,15.0,AMRAP,10.0,66.25
1,6,15.0,Opt AMRAP EMOM,7.82,69.56
Finger Curl
4,15,12.5,AMRAP,10.0,61.09
Dips
1,8,10.0,AMRAP,10.0,71.64
2,10,8.75,AMRAP,9.8,64.16
1,6,7.5,Opt AMRAP EMOM,2.33,67.06
Parallette Crunch
1,8,12.5,AMRAP,10.0,71.64
2,10,10.0,AMRAP,8.2,64.16
1,6,10.0,Opt AMRAP EMOM,4.35,67.06
Day,23
Rest
