# Programme: nSuns CAP3-LP Hybrid
sets	reps	weight	type	rpe	intensity
Day,1
Flat Bench
5,12,7.5,AMRAP,14.23,75.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.16,66.67
Lunge, Walking, Backstep, Dragon
1,4,40.0,AMRAP,9.25,84.21
3,6,35.0,AMRAP,7.26,73.68
1,3,37.5,Opt AMRAP EMOM,5.91,78.95
Face Pull
1,12,20.0,AMRAP,10.16,66.67
3,14,15.0,AMRAP,3.9,50.0
1,10,17.5,Opt AMRAP EMOM,4.49,58.33
Leg Raise
1,10,10.0,AMRAP,14.3,80.0
3,12,5.0,AMRAP,1.35,40.0
1,8,7.5,Opt AMRAP EMOM,3.65,60.0
Day,17
Sumo Deadlift
5,6,95.0,Default,4.81,67.86
2,5,100.0,Default,5.21,71.43
1,5,105.0,AMRAP,6.69,75.0
Kroc Row
1,8,32.5,AMRAP,10.65,76.47
1,5,30.0,AMRAP,4.87,70.59
1,4,30.0,AMRAP EMOM,3.78,70.59
Side Raise
1,12,7.5,AMRAP,6.77,60.0
3,14,5.0,AMRAP,1.71,40.0
1,10,5.0,Opt AMRAP EMOM,1.03,40.0
Hammer Curl
1,12,12.5,AMRAP,8.02,62.5
3,14,10.0,AMRAP,3.9,50.0
1,10,10.0,Opt AMRAP EMOM,2.2,50.0
DB Incline Bench
1,8,32.5,AMRAP,8.76,72.22
3,10,27.5,AMRAP,5.62,61.11
1,6,30.0,Opt AMRAP EMOM,4.35,66.67
Plate Pinch
4,15,17.5,AMRAP,11.44,63.64
Zottman Curl
1,12,7.5,AMRAP,6.77,60.0
3,14,5.0,AMRAP,1.71,40.0
1,10,5.0,Opt AMRAP EMOM,1.03,40.0
V-Sit
5,12,7.5,AMRAP,14.23,75.0
Day,18
Low Bar Squat
3,4,87.5,Default,5.98,76.09
3,4,95.0,Default,8.63,82.61
1,4,97.5,AMRAP,9.47,84.78
Overhead Press
1,6,30.0,Default,0.99,50.0
1,5,37.5,Default,2.24,62.5
1,3,42.5,Default,2.73,70.83
1,5,42.5,Default,4.96,70.83
1,7,42.5,Default,7.09,70.83
1,4,42.5,Default,3.87,70.83
1,6,42.5,Default,6.04,70.83
1,8,42.5,Default,8.13,70.83
Back Lever, Straddle
5,12,10.0,AMRAP,10.16,66.67
Pullup
1,8,8.75,AMRAP,7.76,70.0
3,10,7.5,AMRAP,5.15,60.0
1,6,7.5,Opt AMRAP EMOM,2.33,60.0
Calf Raise, Standing
1,8,15.0,AMRAP,10.01,75.0
3,10,12.5,AMRAP,6.23,62.5
1,6,12.5,Opt AMRAP EMOM,2.96,62.5
Finger Curl
4,15,12.5,AMRAP,10.8,62.5
Dips
1,8,8.75,AMRAP,7.76,70.0
3,10,7.5,AMRAP,5.15,60.0
1,6,8.75,Opt AMRAP EMOM,5.68,70.0
Ab Rollout, Kneeling
5,12,7.5,AMRAP,14.23,75.0
Day,19
Flat Bench
4,8,55.0,Default,3.48,59.46
2,6,62.5,Default,4.7,67.57
1,6,67.5,AMRAP,6.95,72.97
Close Grip Bench
1,10,55.0,AMRAP,11.37,73.33
1,10,50.0,AMRAP,8.2,66.67
1,5,50.0,AMRAP EMOM,3.41,66.67
Wrist Curl
4,15,7.0,AMRAP,14.88,70.0
Wrist Extension
4,15,7.0,AMRAP,14.88,70.0
Land Mine Anti-Rotation
1,8,35.0,AMRAP,7.76,70.0
3,10,30.0,AMRAP,5.15,60.0
1,6,35.0,Opt AMRAP EMOM,5.68,70.0
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.16,66.67
Bulgarian Split Squat
1,6,27.5,AMRAP,7.11,73.33
3,8,25.0,AMRAP,6.26,66.67
1,4,25.0,Opt AMRAP EMOM,2.5,66.67
Face Pull
1,12,20.0,AMRAP,10.16,66.67
3,14,15.0,AMRAP,3.9,50.0
1,10,17.5,Opt AMRAP EMOM,4.49,58.33
Toes to Bar
5,12,7.5,AMRAP,14.23,75.0
Day,20
Rest
Day,21
Deadlift
4,3,130.0,Default,6.34,80.0
3,3,135.0,Default,7.58,83.08
1,3,140.0,AMRAP,8.76,86.15
Pendlay Row, Cheat
1,8,97.5,AMRAP,9.38,73.58
1,6,87.5,AMRAP,4.12,66.04
1,4,87.5,AMRAP EMOM,2.33,66.04
Side Raise
1,12,7.5,AMRAP,6.77,60.0
3,14,5.0,AMRAP,1.71,40.0
1,10,5.0,Opt AMRAP EMOM,1.03,40.0
Hammer Curl
1,12,12.5,AMRAP,8.02,62.5
3,14,10.0,AMRAP,3.9,50.0
1,10,10.0,Opt AMRAP EMOM,2.2,50.0
DB Incline Bench
1,8,32.5,AMRAP,8.76,72.22
3,10,27.5,AMRAP,5.62,61.11
1,6,30.0,Opt AMRAP EMOM,4.35,66.67
Plate Pinch
4,15,17.5,AMRAP,11.44,63.64
Zottman Curl
1,12,7.5,AMRAP,6.77,60.0
3,14,5.0,AMRAP,1.71,40.0
1,10,5.0,Opt AMRAP EMOM,1.03,40.0
V-Sit
5,12,7.5,AMRAP,14.23,75.0
Day,22
Front Squat
4,5,57.5,Default,5.39,71.88
4,4,60.0,Default,5.53,75.0
1,4,77.5,Optional,13.6,96.88
Overhead Press
1,5,45.0,Default,6.69,75.0
1,5,52.5,Default,11.65,87.5
1,1,57.5,Test,9.54,95.83
1,3,55.0,Default,10.73,91.67
1,3,52.5,Default,9.26,87.5
1,3,50.0,Default,7.68,83.33
1,5,45.0,Default,6.69,75.0
1,5,42.5,Default,4.96,70.83
1,5,40.0,AMRAP,3.41,66.67
Back Lever, Straddle
5,12,10.0,AMRAP,10.16,66.67
Pullup
1,8,8.75,AMRAP,7.76,70.0
3,10,7.5,AMRAP,5.15,60.0
1,6,7.5,Opt AMRAP EMOM,2.33,60.0
Calf Raise, Standing
1,8,15.0,AMRAP,10.01,75.0
3,10,12.5,AMRAP,6.23,62.5
1,6,12.5,Opt AMRAP EMOM,2.96,62.5
Finger Curl
4,15,12.5,AMRAP,10.8,62.5
Dips
1,8,8.75,AMRAP,7.76,70.0
3,10,7.5,AMRAP,5.15,60.0
1,6,8.75,Opt AMRAP EMOM,5.68,70.0
Parallette Crunch
1,8,12.5,AMRAP,13.47,83.33
3,10,7.5,AMRAP,2.2,50.0
1,6,10.0,Opt AMRAP EMOM,4.35,66.67
Day,23
Rest
