# Programme: DCG_YugeStr
sets,reps,weight,type,rpe,intensity
1,8,20.0,Opt AMRAP EMOM,8.99,64.91
Zottman Curl
1,10,10.0,AMRAP,10.0,69.37
2,12,10.0,AMRAP,10.0,62.46
1,8,10.0,Opt AMRAP EMOM,10.0,64.91
Parallette Crunch
1,12,10.0,AMRAP,10.0,61.47
2,14,7.5,AMRAP,3.9,55.15
1,10,7.5,Opt AMRAP EMOM,2.2,55.44
Day,18
Rest
Day,19
Close Grip Bench
1,12,55.0,Default,6.51,60.46
1,10,57.5,Default,6.08,64.16
1,8,62.5,AMRAP,6.66,68.33
Wrist Extension
1,10,7.0,AMRAP,9.8,69.37
2,12,7.0,AMRAP,10.0,62.46
1,8,7.0,Opt AMRAP EMOM,7.76,64.91
Wrist Curl
1,10,7.0,AMRAP,9.8,69.37
2,12,7.0,AMRAP,10.0,62.46
1,8,7.0,Opt AMRAP EMOM,7.76,64.91
Pendlay Row, Cheat
1,12,80.0,Default,6.96,60.46
1,10,85.0,Default,7.0,64.16
1,8,90.0,AMRAP,6.82,68.33
Land Mine Anti-Rotation
1,8,37.5,AMRAP,10.0,73.86
2,10,35.0,AMRAP,9.8,66.25
1,6,35.0,Opt AMRAP EMOM,5.68,69.56
Front Lever, One Leg Out
5,12,10.0,AMRAP,10.0,80.0
Lunge, Walking, Backstep, Dragon
1,8,37.5,AMRAP,10.0,73.86
2,10,32.5,AMRAP,9.05,66.25
1,6,35.0,Opt AMRAP EMOM,7.26,69.56
Face Pull
1,10,22.5,AMRAP,10.0,69.37
2,12,20.0,AMRAP,10.0,62.46
1,8,20.0,Opt AMRAP EMOM,6.26,64.91
Day,20
Low Bar Squat
1,12,67.5,Default,6.15,60.46
1,10,72.5,Default,6.48,64.16
1,8,77.5,AMRAP,6.58,68.33
Dumbell Overhead Press
1,12,30.0,Default,6.77,60.46
1,10,30.0,Default,5.15,64.16
1,8,32.5,AMRAP,5.54,68.33
Pullup
1,8,10.0,AMRAP,10.0,73.86
2,10,8.75,AMRAP,9.8,66.25
1,6,8.75,Opt AMRAP EMOM,5.68,69.56
Back Lever, Straddle
5,12,10.0,AMRAP,10.0,80.0
Calf Raise, Standing
1,10,15.0,AMRAP,10.0,69.37
2,12,12.5,AMRAP,8.02,62.46
1,8,15.0,Opt AMRAP EMOM,10.0,64.91
Finger Curl
1,10,15.0,AMRAP,10.0,69.37
2,12,12.5,AMRAP,8.02,62.46
1,8,15.0,Opt AMRAP EMOM,10.0,64.91
Ab Rollout, Kneeling
5,12,7.5,AMRAP,10.0,80.0
Day,21
Sumo Deadlift
1,12,82.5,Default,6.26,60.46
1,10,87.5,Default,6.23,64.16
1,8,95.0,AMRAP,6.79,68.33
Hip Thrust
1,12,60.0,Default,6.77,60.46
1,10,62.5,Default,6.23,64.16
1,8,67.5,AMRAP,6.63,68.33
Side Raise
1,10,10.0,AMRAP,10.0,69.37
2,12,10.0,AMRAP,10.0,62.46
1,8,10.0,Opt AMRAP EMOM,10.0,64.91
DB Incline Bench
1,8,35.0,AMRAP,10.0,73.86
2,10,30.0,AMRAP,8.2,66.25
1,6,32.5,Opt AMRAP EMOM,6.63,69.56
Bulgarian Split Squat
1,8,30.0,AMRAP,10.0,73.86
2,10,25.0,AMRAP,8.2,66.25
1,6,27.5,Opt AMRAP EMOM,7.11,69.56
Plate Pinch
1,10,20.0,AMRAP,10.0,69.37
2,12,17.5,AMRAP,8.6,62.46
1,8,20.0,Opt AMRAP EMOM,8.99,64.91
Zottman Curl
1,10,10.0,AMRAP,10.0,69.37
2,12,10.0,AMRAP,10.0,62.46
1,8,10.0,Opt AMRAP EMOM,10.0,64.91
Parallette Crunch
1,8,12.5,AMRAP,10.0,73.86
